title,smdName,organizationName,sourceType,sourceUrl,icarUrl,keywords,language
பூசா வேளாண் செய்திகள் தொகுதி 35 Pusa Samachar Tamil Episode 35,Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=Q8TDT_Y0hbI,https://krishi.icar.gov.in/video/watch/4153,"Offseason Nursery at Regional Station, Wellington, IARI, Ranikhet disease symptoms and management in poultry, Agri tit bits",Tamil
"किसान संपर्क यात्रा: द्वितीय दिवस - कंखवाली, मुक्तसर (पंजाब) श्री लखवीर सिंह जी",Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=9YsFOTmoCxs,https://krishi.icar.gov.in/video/watch/4152,"Interaction with farmers, Pusa basmati 1847",Hindi
पूसा समाचार अंक 112 धान मे रोग प्रबंधन एवं चने की उन्नत किस्में,Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=JZ1NBHM_Fhw,https://krishi.icar.gov.in/video/watch/4151,"Disease in Rice, Improved Varieties of Chickpea",Hindi
Quinoa pearler,Agricultural Engineering,ICAR-Central Institute of Agricultural Engineering,youtube,https://www.youtube.com/watch?v=3Hp5CA8n-G8,https://krishi.icar.gov.in/video/watch/4148,Quinoa,English
Daaji's talk after Heartfulness and ICAR MOU: Vice Chancellor Conference of Agricultural Universities,"Others (ICAR Hqrs, Directorate of Knowledge Management in Agriculture, etc.)",ICAR-Headquarters,youtube,https://www.youtube.com/watch?v=IJfktNjvw4M,https://krishi.icar.gov.in/video/watch/4147,"Agriculture, Vice Chancellor Conference",English
"पूसा समाचार अंक 111 किसान संपर्क यात्रा की झलकियाँ, गेहूं की उन्नत किस्मे",Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=on0ACDNIITE,https://krishi.icar.gov.in/video/watch/4146,"Improved variety of paddy, Improved variety of Wheat",Hindi
किसान संपर्क यात्रा: द्वितीय दिवस -भावानीगढ़ संगरूर (पंजाब) श्री गुरिंदर सिंह जी,Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=qfa52X7nhQQ,https://krishi.icar.gov.in/video/watch/4145,"Paddy improved variety 1847, Contact with farmers",Hindi
किसान संपर्क यात्रा: द्वितीय दिवस -संगरूर (पंजाब) श्री गुरमेल सिंह जी,Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=bt4k-C-uCAE,https://krishi.icar.gov.in/video/watch/4144,"Paddy improved variety 1847, Contact with farmers",Hindi
"किसान संपर्क यात्रा दूसरे दिन अंतिम पड़ाव संतनगर, रानिया",Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=IL45xalc_kE,https://krishi.icar.gov.in/video/watch/4143,"Paddy improved variety 1847, Contact with farmers",Hindi
பூசா வேளாண் செய்திகள் தொகுதி 34 Pusa Samachar Tamil Episode 34,Crop Science,ICAR-Indian Agricultural Research Institute,youtube,https://www.youtube.com/watch?v=zdFvdO45kaw,https://krishi.icar.gov.in/video/watch/4142,"Mik disease, its symptoms and management in cattle    Role of biofertilizers in improving the availability of phosphorous fertilizer",Tamil
